c Random k-CNF Generator. J. Giraldez-Cru
c   value n = 25000
c   value m = 95000
c   value k = 3
c   value seed = 9999
p cnf 25000 95000
16767 -6994 16668 0
23164 12060 -11252 0
19015 23196 10939 0
-20441 -8891 12792 0
22545 -6077 20934 0
-18860 -8746 -21082 0
11670 -11928 21068 0
-23923 -23024 7223 0
-21505 21785 -9992 0
14570 6518 -18052 0
-14866 -23284 -16397 0
-6534 -21447 19808 0
9137 6813 -18003 0
20076 -2253 18245 0
-7867 16149 -24321 0
20152 -10009 24418 0
-16233 -21678 2697 0
3653 11952 -720 0
10875 -8456 13857 0
12218 14378 20374 0
21621 -4243 10009 0
-13017 -2128 22807 0
-7824 2617 4619 0
-17178 -22692 23223 0
-10422 21910 14371 0
-1095 17061 -24379 0
16864 24646 -12408 0
19561 3298 -24359 0
-20280 14172 -24167 0
-9136 1389 -13544 0
20861 23009 -9138 0
5869 2377 2618 0
3675 1552 5234 0
-8293 -18729 -2925 0
-6515 20502 16186 0
12238 12948 -8246 0
2968 4812 -7891 0
-15376 -24372 2540 0
-6086 11003 16711 0
-21604 11491 -18099 0
-1499 -7351 7459 0
1989 4572 9835 0
-4606 -8246 11386 0
1191 7891 21466 0
20467 5757 -16968 0
11652 -17994 -4915 0
11249 -20962 1078 0
10492 -2689 -449 0
13031 126 2804 0
-4742 -21730 -14294 0
14192 14580 12996 0
-21651 -16568 -17567 0
-6485 12525 17165 0
9223 13715 -55 0
-5688 9181 22163 0
14007 -20832 -15157 0
10274 23433 -2470 0
11351 8924 21510 0
-11800 21954 21635 0
-14603 18047 9716 0
-20248 -7239 24296 0
24595 20241 7215 0
-17162 18077 19740 0
678 -2299 -8454 0
17084 24339 8987 0
14246 -13345 21170 0
20754 -23618 19602 0
-23223 -9969 3525 0
-19732 -13120 -479 0
7719 -19074 9877 0
17434 5673 -17115 0
-16729 5267 -12355 0
15296 -22428 21784 0
10035 14457 15434 0
9840 6540 14772 0
-18826 -20786 19469 0
-14996 -16539 9438 0
-9597 -6114 -19406 0
4474 -17197 -23877 0
21304 16267 9302 0
6180 -8701 14974 0
-23295 16781 20241 0
-2001 7076 9020 0
15136 -17110 23477 0
5570 18302 5016 0
-20341 -12127 -801 0
6161 18474 -8692 0
15599 19423 6157 0
-10004 -23896 14705 0
233 -20199 5972 0
-9534 17730 -14672 0
-24508 7376 22804 0
11100 729 -4880 0
20119 15864 -13341 0
18595 -21433 -6642 0
-23611 8126 10121 0
-15763 14286 -3594 0
15806 4884 14368 0
-21962 6240 -13263 0
-11667 -6472 -24813 0
8990 7357 -17543 0
-23661 23216 -24918 0
12816 9315 -646 0
-17695 4434 7862 0
22388 -23028 -4294 0
20381 12990 3771 0
5501 -3753 18057 0
447 -19558 -22940 0
14814 -7872 20531 0
19429 -10890 -2002 0
-19241 -19879 711 0
3135 -9891 23926 0
19405 -22706 8241 0
11402 -6753 -12674 0
19263 -4140 2053 0
14909 -24520 15043 0
18679 21373 10147 0
-11735 -21819 21056 0
-1027 2984 -3927 0
-21557 22412 -6168 0
14911 -16653 -17398 0
-15621 11139 18640 0
-14546 5543 7698 0
14138 -16945 -14450 0
18163 2559 -9941 0
20216 17467 -812 0
-10258 -11146 13536 0
-20404 14232 -10354 0
-16459 -15258 4690 0
-11738 -3167 2101 0
9257 9429 10105 0
-1655 -49 21244 0
11646 -5946 -1786 0
19343 11436 10082 0
144 4598 -12641 0
-10084 24813 -5107 0
-2248 -10070 7604 0
-15783 -21825 -21836 0
-17489 -4636 -3445 0
-22178 7725 22963 0
-24278 -16981 -7391 0
-9383 9987 23791 0
21978 -21633 21089 0
-23763 -15975 7524 0
197 -16119 12121 0
-12837 -17554 -11934 0
-9295 11153 -13355 0
8251 -1936 1532 0
-5086 -10776 -6167 0
-24882 24305 5243 0
14197 14934 -22223 0
-21587 -24316 -7210 0
11730 12645 20194 0
7818 2760 2520 0
15341 -2956 9990 0
-2461 7144 18896 0
5746 7790 5048 0
-19101 16040 23335 0
-20632 12477 -9110 0
-18150 3711 24766 0
-23392 17907 14700 0
11966 5845 5367 0
10527 17574 18012 0
-5720 -391 20771 0
-8240 7083 -23726 0
9581 -9544 22221 0
3476 -15289 5010 0
-8524 741 -21050 0
23210 12724 24878 0
23672 -5873 3588 0
23437 -20616 -21494 0
13136 -7582 -2339 0
18503 -18108 11264 0
-11514 -15180 -11655 0
-7284 -14771 10089 0
-22361 -24351 -19632 0
10933 19179 -1273 0
15942 19054 -2013 0
3343 17263 6089 0
3221 15934 3313 0
6808 -14371 -23929 0
-3302 18858 22862 0
-21992 -12360 7321 0
-8255 15225 -22500 0
-11261 13860 -3622 0
-21350 -11220 19325 0
-7333 -22152 -13503 0
24957 4446 -7556 0
-1970 7788 -24818 0
24410 -11008 7104 0
2722 -17816 12826 0
-1650 -12469 6683 0
15863 812 -19043 0
-23184 418 -9267 0
-12035 3031 -23127 0
7009 -24380 -698 0
-1333 23064 14202 0
6187 23021 18647 0
-13742 16342 -1434 0
-4911 -15751 3794 0
3366 -18472 12961 0
16191 -11474 16781 0
22874 -2336 -17592 0
-16916 -16871 -18009 0
-17534 20258 12391 0
-7012 2266 -11770 0
24062 -3598 1186 0
13263 -9784 -24206 0
-6909 -14877 6899 0
-24694 11139 -22649 0
19839 -14505 7472 0
-7799 -5695 -18945 0
-24579 -3568 -12633 0
-8522 -11835 -20855 0
17883 -20721 -16112 0
-5273 19084 9729 0
8395 18145 -13326 0
-9580 -6407 -14461 0
137 -4667 -20689 0
7035 20713 23180 0
-4683 -15551 -12684 0
3506 14702 9730 0
13803 5632 4650 0
17787 -14154 7836 0
-13641 23388 19908 0
21105 -3660 13992 0
5833 -12054 -7136 0
10511 -12985 4895 0
-24971 4473 -9561 0
-12012 11507 21625 0
-10191 7541 -12176 0
14226 11047 -1877 0
-23955 -24849 -7508 0
19956 -17635 13013 0
2792 22627 11400 0
22699 18731 -15060 0
-11690 -24564 -18465 0
10178 -10074 -22802 0
-15072 -1396 -2274 0
-15984 -4759 5133 0
-12609 6301 12673 0
16136 -20526 -23719 0
9364 10833 14919 0
8223 5788 -7553 0
21236 -8579 21532 0
-7635 -6278 -15262 0
-14046 -9319 6177 0
-23863 -19496 7602 0
13016 919 350 0
6641 8255 -5108 0
11773 -20863 2761 0
24446 3350 -23286 0
14516 12713 -9118 0
-4435 20935 6258 0
-3339 -17170 -14836 0
-24870 16157 -12465 0
6484 21554 13136 0
-12660 -20416 23983 0
11614 24783 -24902 0
-11963 6424 -8156 0
-8422 18196 20370 0
-11182 -17641 -23719 0
820 23509 -11431 0
1289 -2943 23717 0
7546 22633 -15887 0
13734 13855 23395 0
-1198 -20338 19948 0
5685 -24349 6716 0
-4668 -10962 6498 0
20921 -14276 12921 0
20428 14050 -6117 0
15797 -231 -15109 0
5867 -1050 -13617 0
-17297 18691 7911 0
-16013 1236 -5544 0
23251 14969 -19398 0
-21645 7519 6087 0
-16593 13203 -5435 0
