c Random k-CNF Generator. J. Giraldez-Cru
c   value n = 1000
c   value m = 4210
c   value k = 3
c   value seed = 543
p cnf 1000 4210
-531 645 999 0
623 348 99 0
992 870 -94 0
-647 -685 457 0
-913 -632 -704 0
837 191 957 0
-896 -205 767 0
-596 -506 689 0
-370 -852 -18 0
-189 139 250 0
291 -669 -895 0
289 643 -242 0
-388 634 -111 0
-833 632 -147 0
-289 -544 131 0
-344 -381 321 0
652 -628 877 0
-418 -575 -382 0
458 296 585 0
-475 -485 -723 0
76 -775 743 0
-970 415 -385 0
-563 154 -19 0
-26 -986 -650 0
524 -626 -546 0
654 321 -278 0
-974 -972 -257 0
-850 741 184 0
584 198 479 0
-168 24 315 0
243 -100 441 0
-985 -421 -856 0
722 336 -9 0
92 -361 347 0
-741 236 -972 0
-638 890 645 0
267 215 968 0
-524 -65 709 0
-707 1000 -906 0
537 -167 282 0
-852 761 -381 0
644 98 153 0
-499 -819 -488 0
-860 -910 200 0
-206 -2 436 0
-529 992 -325 0
525 -258 -539 0
493 133 -955 0
-201 191 -954 0
-458 -728 -473 0
-739 -931 585 0
-471 -574 682 0
976 -425 852 0
-463 636 113 0
15 193 -115 0
-450 -721 458 0
-126 -246 -715 0
16 90 200 0
323 -290 -390 0
-276 99 -469 0
-100 190 751 0
-685 -660 677 0
-366 987 -101 0
-218 -450 88 0
682 -464 280 0
-796 -265 352 0
605 742 949 0
672 -757 38 0
-871 -79 -327 0
-612 -707 778 0
433 158 967 0
-183 -842 978 0
-859 -560 965 0
-311 -129 766 0
750 -810 581 0
29 -958 -845 0
-381 -562 938 0
-329 585 -694 0
-367 -455 125 0
-45 419 183 0
-822 851 340 0
140 385 534 0
-118 596 -93 0
434 258 573 0
-199 8 734 0
-779 -36 -691 0
-975 768 -605 0
-912 -97 -189 0
957 815 996 0
-81 211 414 0
615 385 -264 0
955 524 1000 0
-488 993 595 0
932 -426 853 0
-504 976 -860 0
-237 106 247 0
-280 -80 15 0
236 -343 463 0
-424 652 277 0
-419 -732 -487 0
184 699 -871 0
799 -653 747 0
-799 492 739 0
-393 -423 517 0
597 278 492 0
808 866 598 0
55 -145 29 0
-69 -380 -372 0
-531 156 -23 0
159 926 -106 0
-645 -110 -804 0
868 260 808 0
614 -58 299 0
-352 -803 73 0
-868 751 350 0
-360 559 -216 0
309 -613 712 0
337 33 444 0
-708 -563 -599 0
82 -721 876 0
-188 717 337 0
343 584 597 0
-151 -197 6 0
801 901 160 0
874 -768 -911 0
-223 -479 -469 0
790 -787 -433 0
-502 476 -465 0
297 -183 -379 0
-895 617 451 0
122 -804 -167 0
459 498 103 0
-55 1000 -299 0
412 801 551 0
572 674 671 0
-482 248 501 0
-302 -38 640 0
86 -891 115 0
902 -187 -297 0
-280 -433 -913 0
82 -554 -68 0
-248 364 918 0
-350 -418 917 0
-1 -830 717 0
903 753 -390 0
573 -234 990 0
74 -887 -27 0
713 324 269 0
-827 225 -455 0
475 -504 -239 0
740 937 144 0
159 -184 508 0
76 -886 277 0
-993 238 458 0
-709 140 210 0
-451 -713 795 0
-440 138 -681 0
-818 -850 -4 0
-86 28 -228 0
-892 -502 -83 0
482 -241 -19 0
-625 752 -555 0
484 827 792 0
761 -819 -29 0
-218 -880 520 0
-428 -682 -232 0
-222 -473 -369 0
255 642 570 0
610 -727 -597 0
190 -970 451 0
-272 -451 43 0
-643 -427 794 0
-549 -911 -621 0
-340 23 -791 0
720 -240 22 0
-239 -19 55 0
823 593 -527 0
543 -847 -168 0
-113 -456 -246 0
61 -645 567 0
511 -269 369 0
554 -263 148 0
-347 163 -58 0
319 854 432 0
-110 -573 23 0
483 163 -42 0
538 985 -634 0
-64 -528 832 0
584 992 639 0
181 -52 -284 0
-748 915 -904 0
-116 -468 518 0
615 166 -680 0
-672 485 -533 0
455 -594 457 0
478 -76 619 0
-519 -613 -604 0
504 -29 -483 0
-335 964 826 0
-973 144 -877 0
-608 -891 -791 0
863 -359 610 0
-380 -973 776 0
411 -997 -260 0
-943 -451 205 0
751 -928 632 0
-370 -798 -245 0
325 -301 625 0
159 -987 588 0
984 312 -731 0
-860 -919 974 0
-3 134 684 0
964 -513 -656 0
-739 -924 4 0
350 -218 807 0
-554 -969 86 0
-186 -690 -884 0
-782 -14 -536 0
758 524 875 0
-345 507 -186 0
427 718 -456 0
-400 72 -589 0
-83 -36 454 0
91 126 729 0
-94 -476 -946 0
-900 -381 -266 0
338 -918 307 0
-221 51 672 0
108 808 195 0
