c Random k-CNF Generator. J. Giraldez-Cru
c   value n = 25000
c   value m = 105250
c   value k = 3
c   value seed = 0
p cnf 25000 105250
-14384 5887 -17778 0
-11916 -22794 13336 0
10387 -10493 16650 0
-16422 2363 -15028 0
18691 -20060 -22764 0
-13927 -5541 -8427 0
14173 -5737 5212 0
20369 2568 -6430 0
15783 21531 22863 0
15124 -24068 3136 0
-13930 -4803 -9023 0
23059 -8070 -23168 0
11394 -18457 12 0
-3043 -1230 -2374 0
9422 -19920 13785 0
23538 -199 -19325 0
23316 -14371 -16414 0
3527 1092 -18981 0
-9957 16874 6863 0
24171 6997 22282 0
2306 -20926 -2085 0
-11328 10337 -1506 0
847 -21730 -11314 0
-858 -16125 3896 0
19583 -546 -23815 0
-8368 15435 -15365 0
-19044 13751 -21088 0
1809 17277 -22179 0
-20789 18585 5404 0
-2652 17755 -12400 0
-24933 -20061 -24677 0
-18369 22740 -10013 0
11227 -23587 -23095 0
-22540 15796 5571 0
-1435 -10379 22468 0
-16602 -10098 12903 0
-23318 20493 -1653 0
10757 22302 10281 0
24287 9442 -3866 0
4690 3445 -21620 0
8441 19730 8032 0
-8118 -13098 -5772 0
-9482 15676 -20710 0
23928 4568 2857 0
-4498 22354 4587 0
-1966 5307 -14684 0
6220 -3625 1529 0
-7872 5733 -23830 0
9504 5020 -8271 0
-13369 -9709 -11716 0
-1341 -18150 22797 0
724 -17619 2246 0
22847 18452 17922 0
-18556 -17380 -22489 0
12765 13229 -19842 0
17351 -15194 16501 0
-7035 12765 -20125 0
24915 11988 -857 0
-23744 21492 22228 0
23366 -9860 -6937 0
1433 -2552 -16438 0
24229 -3276 408 0
-1475 -1122 18859 0
-19396 -11030 -11238 0
-8236 -23794 15819 0
-19429 -16144 -6012 0
-10929 -14530 -18777 0
-22405 -14444 -5764 0
-14614 4539 18607 0
-11841 -2905 19819 0
-10129 20689 -22370 0
17918 -19918 16997 0
18325 12744 9471 0
-12184 23491 -20500 0
-14773 -6726 10645 0
-5591 -17506 18140 0
2955 -19787 -7670 0
13083 8543 -13465 0
10198 14508 9356 0
-3805 -1349 3612 0
-23623 2829 24300 0
12344 -20747 10569 0
-4341 5423 23312 0
-13811 -17606 -21802 0
662 23731 -19879 0
-11306 -4321 3737 0
-4445 23627 -23523 0
-3466 -11709 23417 0
-8283 13259 12925 0
-17638 -17063 5625 0
12601 7037 -8453 0
-11900 -19380 20551 0
-22469 15072 974 0
12132 -3882 9931 0
-8934 20895 8661 0
20164 -7200 -12982 0
-23900 -2997 2960 0
-13774 22814 -14669 0
-12191 -6096 -2927 0
16467 -15085 -11341 0
22091 -2685 -18377 0
-5543 5937 -4108 0
17446 19757 -19180 0
18419 6888 -14413 0
3349 7173 1660 0
-12010 -2337 211 0
-16343 17588 -3207 0
-19302 22714 17373 0
322 1256 14820 0
19600 17722 -4905 0
-5940 -14812 -23941 0
-15668 11706 21229 0
11128 -4151 -15985 0
21659 13921 14225 0
2423 -17270 21397 0
4082 20631 15085 0
4293 -11973 -7673 0
23851 -22626 -5386 0
16223 14300 -6641 0
-6043 -8899 15714 0
-2299 6191 -5525 0
17591 13210 8582 0
-13820 -24337 -12733 0
21156 -20995 18005 0
10380 14770 -10274 0
-6777 18851 22256 0
-21861 -23143 580 0
20885 -21994 -23206 0
17622 4568 -12505 0
15614 1962 12755 0
6327 -4260 -18945 0
3203 13203 23507 0
11785 -2022 -22843 0
15869 14529 -10190 0
-8873 -24909 -24959 0
10499 23037 -18809 0
7754 11249 -8304 0
-8334 -7134 -21649 0
22891 -24755 17568 0
1747 -15369 19530 0
14501 13047 -23789 0
24798 16250 -11991 0
23304 -3034 -5364 0
12498 10254 -19893 0
-22687 -19126 11153 0
13997 20976 -9189 0
24158 -3730 -20437 0
-7461 3415 18922 0
20461 1305 10029 0
13028 -3051 16749 0
-7557 8903 4795 0
22698 8700 -21044 0
1040 -7003 -15429 0
-6404 -19501 -682 0
-17648 8539 -11160 0
20152 -22536 -7135 0
-4340 -21693 -2216 0
16128 20505 -5630 0
-10050 -15965 23286 0
11430 20344 -1336 0
3178 -2901 -10239 0
-7972 16950 10290 0
20368 17989 -17293 0
-10796 15744 3145 0
-2830 -8391 -11683 0
5341 -3542 570 0
3827 -24233 -22262 0
-6043 -15361 9118 0
3024 -16762 -82 0
-1310 -3191 -20426 0
18997 -6368 -14678 0
-4235 5691 -6627 0
-14525 -1058 -24615 0
-23169 -3206 -15359 0
-1313 22387 -15101 0
-4347 -2727 -9995 0
-4917 -6553 579 0
-18530 3947 7291 0
-2648 -6971 -24052 0
-19081 24632 -18594 0
-5858 -18628 -16313 0
11887 -14215 13356 0
-18513 -20091 -14413 0
-9480 9611 8970 0
-16190 2275 -6356 0
22642 -6621 434 0
23988 2889 23339 0
24567 12771 -2285 0
-6857 -15418 -607 0
22261 850 -238 0
7206 23060 -10218 0
-23519 9946 15784 0
-11874 -3459 -10874 0
17638 4290 -20484 0
-1608 -20479 -22758 0
-24315 9472 -20730 0
16101 8460 -23619 0
14439 -8026 -11389 0
8075 6234 -18158 0
-8682 -3494 10359 0
-271 -10700 8418 0
1840 -570 -18364 0
-17623 3795 13174 0
19848 -21432 -17463 0
6683 -14391 -4293 0
20792 5058 5116 0
-16522 -21158 -13575 0
-6492 1948 -12952 0
-9232 10022 10538 0
18741 10055 -14031 0
-4099 -10326 -16082 0
-12517 3517 8003 0
22232 -21140 -11797 0
-10405 7339 24581 0
